benchmark,width,Xwidth,XDwidth
./benchmarks/concom/grids/problog_format/grid_10_9_2_27.pl,14,29,14
./benchmarks/concom/grids/problog_format/grid_7_9_7_152.pl,11,157,14
./benchmarks/concom/grids/problog_format/grid_5_8_3_48.pl,8,50,16
./benchmarks/concom/grids/problog_format/grid_9_7_6_133.pl,11,137,14
./benchmarks/concom/grids/problog_format/grid_10_8_1_12.pl,14,14,13
./benchmarks/concom/grids/problog_format/grid_8_2_3_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_4_9_6_70.pl,6,73,9
./benchmarks/concom/grids/problog_format/grid_7_8_1_12.pl,11,13,11
./benchmarks/concom/grids/problog_format/grid_10_4_6_70.pl,6,72,8
./benchmarks/concom/grids/problog_format/grid_4_5_3_40.pl,6,42,7
./benchmarks/concom/grids/problog_format/grid_6_9_4_75.pl,11,79,22
./benchmarks/concom/grids/problog_format/grid_7_2_5_24.pl,4,25,4
./benchmarks/concom/grids/problog_format/grid_10_5_8_117.pl,8,120,9
./benchmarks/concom/grids/problog_format/grid_10_9_0_3.pl,14,14,14
./benchmarks/concom/grids/problog_format/grid_9_8_4_75.pl,13,79,20
./benchmarks/concom/grids/problog_format/grid_5_7_3_48.pl,8,50,16
./benchmarks/concom/grids/problog_format/grid_5_10_5_78.pl,8,81,9
./benchmarks/concom/grids/problog_format/grid_7_2_3_16.pl,4,17,4
./benchmarks/concom/grids/problog_format/grid_4_9_3_40.pl,6,42,7
./benchmarks/concom/grids/problog_format/grid_10_10_9_261.pl,16,267,16
./benchmarks/concom/grids/problog_format/grid_6_7_0_3.pl,9,10,10
./benchmarks/concom/grids/problog_format/grid_2_4_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_8_10_8_198.pl,14,202,15
./benchmarks/concom/grids/problog_format/grid_2_5_0_3.pl,4,4,4
./benchmarks/concom/grids/problog_format/grid_9_2_2_12.pl,4,13,4
./benchmarks/concom/grids/problog_format/grid_10_6_9_149.pl,11,152,11
./benchmarks/concom/grids/problog_format/grid_6_7_4_75.pl,10,79,23
./benchmarks/concom/grids/problog_format/grid_6_4_3_40.pl,6,42,7
./benchmarks/concom/grids/problog_format/grid_6_9_7_128.pl,11,131,11
./benchmarks/concom/grids/problog_format/grid_5_9_6_91.pl,9,94,10
./benchmarks/concom/grids/problog_format/grid_8_9_6_147.pl,12,152,39
./benchmarks/concom/grids/problog_format/grid_8_7_4_75.pl,11,79,25
./benchmarks/concom/grids/problog_format/grid_6_9_1_12.pl,10,13,9
./benchmarks/concom/grids/problog_format/grid_7_4_1_12.pl,6,13,7
./benchmarks/concom/grids/problog_format/grid_8_10_0_3.pl,13,13,13
./benchmarks/concom/grids/problog_format/grid_8_8_4_75.pl,13,78,24
./benchmarks/concom/grids/problog_format/grid_8_10_1_12.pl,14,14,14
./benchmarks/concom/grids/problog_format/grid_5_6_2_27.pl,8,28,11
./benchmarks/concom/grids/problog_format/grid_10_4_0_3.pl,6,6,6
./benchmarks/concom/grids/problog_format/grid_10_5_7_104.pl,8,107,11
./benchmarks/concom/grids/problog_format/grid_6_8_2_27.pl,11,29,12
./benchmarks/concom/grids/problog_format/grid_6_3_5_37.pl,5,38,5
./benchmarks/concom/grids/problog_format/grid_10_3_5_42.pl,5,44,6
./benchmarks/concom/grids/problog_format/grid_5_4_4_43.pl,6,45,6
./benchmarks/concom/grids/problog_format/grid_4_8_2_27.pl,6,29,11
./benchmarks/concom/grids/problog_format/grid_10_8_0_3.pl,14,14,14
./benchmarks/concom/grids/problog_format/grid_2_7_6_25.pl,4,26,4
./benchmarks/concom/grids/problog_format/grid_7_4_4_50.pl,6,52,8
./benchmarks/concom/grids/problog_format/grid_8_6_0_3.pl,9,9,9
./benchmarks/concom/grids/problog_format/grid_9_9_2_27.pl,13,30,13
./benchmarks/concom/grids/problog_format/grid_2_3_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_8_7_1_12.pl,11,13,11
./benchmarks/concom/grids/problog_format/grid_7_3_1_12.pl,5,14,8
./benchmarks/concom/grids/problog_format/grid_2_9_7_32.pl,4,33,4
./benchmarks/concom/grids/problog_format/grid_7_10_0_3.pl,12,12,12
./benchmarks/concom/grids/problog_format/grid_9_2_6_28.pl,4,29,4
./benchmarks/concom/grids/problog_format/grid_9_2_7_32.pl,4,33,4
./benchmarks/concom/grids/problog_format/grid_10_9_4_75.pl,14,79,18
./benchmarks/concom/grids/problog_format/grid_9_4_2_27.pl,7,29,12
./benchmarks/concom/grids/problog_format/grid_8_5_6_91.pl,8,94,10
./benchmarks/concom/grids/problog_format/grid_6_8_6_112.pl,11,115,11
./benchmarks/concom/grids/problog_format/grid_6_10_9_149.pl,11,152,11
./benchmarks/concom/grids/problog_format/grid_10_10_7_192.pl,16,198,42
./benchmarks/concom/grids/problog_format/grid_10_7_3_48.pl,12,52,15
./benchmarks/concom/grids/problog_format/grid_8_6_2_27.pl,11,29,11
./benchmarks/concom/grids/problog_format/grid_10_2_1_8.pl,4,9,4
./benchmarks/concom/grids/problog_format/grid_9_4_6_70.pl,6,73,8
./benchmarks/concom/grids/problog_format/grid_2_10_9_37.pl,4,38,4
./benchmarks/concom/grids/problog_format/grid_6_10_2_27.pl,11,30,12
./benchmarks/concom/grids/problog_format/grid_7_4_0_3.pl,6,6,6
./benchmarks/concom/grids/problog_format/grid_10_2_6_28.pl,4,29,4
./benchmarks/concom/grids/problog_format/grid_8_3_5_42.pl,5,44,6
./benchmarks/concom/grids/problog_format/grid_2_9_5_24.pl,4,25,4
